cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,11,Прикладная информатика,М,20.0,Нет,Математика,MacOS,Да,Да,Нет,Меньше года,Cursor,192.0,Нет,Экстраверт,"Редко, легкая физкультура",3.0,Бюджет,48.0,Карие,9.2,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,Ж,20.0,Нет,Программирование,MacOS,Нет,Нет,Нет,1-2 года,Mistral,169.0,Нет,Экстраверт,"Да, я спортсмен",5.0,Бюджет,39.0,Зеленые,8.8,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,Ж,19.0,Нет,Программирование,MacOS,Да,Нет,Нет,Меньше года,ChatGPT,190.0,Нет,Экстраверт,Вообще нет,10.0,Бюджет,41.0,Карие,8.8,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,Ж,20.0,Нет,Математика,MacOS,Да,Да,Нет,1-2 года,Qwen,158.0,Нет,Экстраверт,"Да, я спортсмен",3.0,Бюджет,36.0,Карие,8.8,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,М,20.0,Нет,Математика,Windows,Да,Нет,Нет,Не работаю,DeepSeek,187.0,Нет,Интроверт,Вообще нет,1.0,Бюджет,46.0,Зеленые,9.0,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Нет,1-2 года,Cursor,185.0,Да,Экстраверт,"Редко, легкая физкультура",7.0,Платная,44.0,Голубые,9.0,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,М,21.0,Нет,Программирование,Windows,Нет,Да,Нет,1-2 года,Cursor,179.0,Да,Интроверт,Вообще нет,12.0,Платная,44.0,Голубые,7.5,0,"Нет, я из регионов",Нет
4,11,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Да,Меньше года,DeepSeek,186.0,Нет,Интроверт,"Редко, легкая физкультура",11.0,Бюджет,43.0,Голубые,7.2,0,"Нет, я из регионов",Нет
4,11,Прикладная информатика,М,20.0,Да,Математика,Windows,Да,Да,Да,Меньше года,ChatGPT,175.0,Нет,Интроверт,"Редко, легкая физкультура",4.0,Бюджет,42.0,Карие,9.4,0,"Нет, я из регионов",Да
4,11,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,claude,189.0,Нет,Экстраверт,"Да, я спортсмен",3.0,Платная,44.0,Карие,8.0,0,Да,Да
4,11,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Да,Меньше года,DeepSeek,186.0,Нет,Интроверт,"Редко, легкая физкультура",11.0,Бюджет,43.0,Голубые,7.2,0,"Нет, я из регионов",Нет
4,11,Прикладная информатика,Ж,21.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,ChatGPT,187.0,Нет,Интроверт,"Редко, легкая физкультура",3.0,Платная,45.0,Голубые,7.9,0,"Нет, я из Минска",Да
4,11,Прикладная информатика,Ж,20.0,Да,Математика,Windows,Да,Да,Нет,Не работаю,DeepSeek,168.0,Нет,Интроверт,"Да, я спортсмен",0.0,Бюджет,38.0,Серые,8.8,0,"Нет, я из регионов",Да
4,11,Прикладная информатика,Ж,21.0,Нет,Программирование,MacOS,Да,Да,Нет,1-2 года,Cursor,174.0,Да,Интроверт,"Редко, легкая физкультура",1.0,Бюджет,37.0,Серые,9.0,0,Да,Да
4,11,Прикладная информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Нет,1-2 года,ChatGPT,178.0,Да,Интроверт,"Редко, легкая физкультура",6.0,Бюджет,41.0,Карие,9.3,0,"Нет, я из регионов",Да
4,11,Прикладная информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,DeepSeek,165.0,Нет,Социофоб,Вообще нет,2.0,Платная,37.0,Голубые,8.0,0,"Нет, я из Минска",Да
